Company Common Name;Country of Headquarters;TRBC Business Sector Name;Current Ratio;debt to asset ratio ;equity to asset ratio ;debt to equity ratio ;Roa return on asset ;roe return on equity ;long term coverage ratio;asset turnover rate 
KHD Humboldt Wedag Industrial Services AG;Germany;Industrial & Commercial Services;2,80367;0,084004247;0,574058144;0,932463914;-0,09810352;-0,09810352;5,41724;0,455071168
Compagnie Industrielle et Financiere d Entreprises SA;France;Industrial & Commercial Services;1,68644;0,059288567;0,677217335;1,034868793;-0,024225277;-0,024225277;20,08537343;1,190833002
Ada SA;France;Transportation;1,04722;0,059958303;0,703072015;1,448231511;0,082791188;0,082791188;19,95056556;1,196202055
Ober SA;France;Cyclical Consumer Products;3,51979;0,600663717;0,490339233;2,252143179;0,034955752;0,034955752;2,361141805;1,418252212
Herige SA;France;Retailers;1,28276;0,254609625;0,515411979;2,193795508;0,004036914;0,004036914;10,00901576;2,548391753
Greiffenberger AG;Germany;Mineral Resources;1,97015;0,387994259;0,256173983;5,507750667;0,044014045;0,044014045;4,211162447;1,633906853
Pittler Maschinenfabrik AG;Germany;Industrial Goods;3,51288;0,052714182;1,340996516;0,404215573;0,062256187;0,062256187;18,95754487;0,999331471
Hamon & Cie International SA;Belgium;Industrial Goods;1,02983;0,255866815;0,007600998;165,30132;-0,077196661;-0,077196661;4,957623452;1,268491321
Lewag Holding AG;Germany;Industrial Goods;1,34111;0,072438406;0,915793797;0,910165084;0,111450444;0,111450444;26,98335872;1,954631487
Traqueur SA;France;Industrial & Commercial Services;0,40212;0,176;-1,483018868;-1,847124682;-2,06445283;-2,06445283;12,77701544;2,248754717
Aquila SA;France;Industrial & Commercial Services;1,36066;0,000257652;0,413360974;1,778581065;0,109971828;0,109971828;12216,91447;3,147717911
Senvion SA;Luxembourg;Renewable Energy;0,982;0,002523475;0,226899706;6,858027589;-0,091632991;-0,091632991;738,53771;1,863681098
S&O Agrar AG;Germany;Renewable Energy;0,01552;0;0;#DIV/0!;-19,13221154;-19,13221154;#DIV/0!;0
United Power Technology AG;Germany;Industrial Goods;1,74561;0;2,975671853;0,205474343;0,153497987;0,153497987;#DIV/0!;2,475835056
Grino Ecologic SA;Spain;Industrial & Commercial Services;1,02082;0,648037663;2,013385737;0,84129322;-0,044973727;-0,044973727;3,392734185;2,198619534
Air Berlin Plc;Germany;Transportation;0,61233;1,256340863;-1,590903828;-1,940388139;-0,846092249;-0,846092249;3,260428797;4,096209928
Gold by Gold SA;France;Mineral Resources;3,94491;0,029971563;0,504775069;1,024384567;-0,050757441;-0,050757441;41,16876;1,233892083
Groupe Pizzorno Environnement SA;France;Industrial & Commercial Services;1,07607;0,405961383;0,500251123;3,179253702;0,050894277;0,050894277;3,957368937;1,606538966
Evadix SA;Belgium;Industrial & Commercial Services;43,71659;0;0,795716701;0,256728681;-0,57406951;-0,57406951;#DIV/0!;0,01999603
Fountain SA;Belgium;Industrial Goods;0,72105;0,480340594;2,005714067;0,938548524;0,049406776;0,049406776;6,076211259;2,918650928
Soditech SA;France;Industrial Goods;0,58702;0;0,785680082;2,168212714;0,189038494;0,189038494;#DIV/0!;4,347236087
Cenergy Holdings SA;Belgium;Investment Holding Companies;0,83186;0,18637291;0,43257096;3,450305852;-0,010302966;-0,010302966;8,80321798;1,640681354
UV Germi SA;France;Industrial & Commercial Services;6,0072;0,056723928;0,895720009;0,251758933;-0,025682148;-0,025682148;11,55212533;0,655281925
Uestra Hannoversche Verkehrsbetriebe AG;Germany;Transportation;1,19832;0,224780415;0,203070322;17,73966202;-0,211631658;-0,211631658;8,801811344;1,978474804
Neschen AG;Germany;Chemicals;0,47111;0,331671979;-0,670124602;-3,841909539;-0,530454941;-0,530454941;10,78962083;3,578614894
Morefield Group NV;Curacao;Industrial & Commercial Services;0,75928;0,119387886;0,134319375;10,94632472;0,012959406;0,012959406;15,59733991;1,862133436
Hiolle Industries SA;France;Industrial & Commercial Services;1,85652;0,099438883;0,607996989;1,223652185;0,028300215;0,028300215;16,03819087;1,594819783
Poujoulat SA;France;Cyclical Consumer Products;1,53689;0,338252627;0,834490123;1,26179698;0,018908219;0,018908219;6,552147239;2,216281014
IMA Industria Macchine Automatiche SpA;Italy;Industrial Goods;1,18344;0,179464457;0,395635118;3,081852037;0,09171461;0,09171461;7,882720325;1,414668123
Lisgrafica Impressao e Artes Graficas SA;Portugal;Industrial & Commercial Services;0,36514;1,819370823;-3,49805959;-1,877560944;-0,351766152;-0,351766152;1,816183181;3,304310688
Envipco Holding NV;Netherlands;Industrial & Commercial Services;1,83876;0,223783024;1,113134151;0,701208562;-0,137230536;-0,137230536;8,220424915;1,83959155
Zhongde Waste Technology AG;Germany;Renewable Energy;5,82427;0;0,828435907;0,207252368;0,423586372;0,423586372;#DIV/0!;0,024411686
Novisource NV;Netherlands;Industrial & Commercial Services;1,3227;0,061071741;0,334182658;2,644984513;0,095787881;0,095787881;27,29595828;1,667011705
ais AG;Germany;Industrial & Commercial Services;1,23251;0;0,365803109;5,451502214;0,348741152;0,348741152;#DIV/0!;18,14780705
NSE SA;France;Technology Equipment;1,32893;0,095188647;0,473816941;1,903151743;0,0018296;0,0018296;16,64753247;1,584656085
Fiducial Office Solutions SA;France;Technology Equipment;1,27662;0,040479263;1,409013825;0,628043276;0,038709677;0,038709677;82,25637523;3,329677419
China Specialty Glass AG;Germany;Cyclical Consumer Products;6,86749;0,291255353;0,973794703;0,44862542;0,18760785;0,18760785;2,847853202;0,82945249
Ucar SA;France;Personal & Household Products & Services;1,4195;0,055051731;0,666709243;1,142410116;0,039681526;0,039681526;27,54447022;1,516370758
Euroconsult Engineering Consulting Group SA;Spain;Industrial & Commercial Services;0,49295;0,000723815;0,227432121;9,451780958;-0,744453399;-0,744453399;2720,408912;1,969073265
Ivalis SA;France;Industrial & Commercial Services;1,12187;0,233111607;0,14064508;8,152250565;0,023942053;0,023942053;12,7775318;2,978590969
Toolux Sanding SA;China;Industrial Goods;1,01678;0;0,407293127;2,423795866;0,003107451;0,003107451;#DIV/0!;0,341452585
Forestiere Equatoriale SA;Ivory Coast;Transportation;0,34816;0,023328337;0,306048446;10,83141785;-0,047593434;-0,047593434;90,14378238;2,102904559
Selcodis SA;France;Automobiles & Auto Parts;0,0537;53,36450839;-86,52997602;-1,013025524;0,278177458;0,278177458;0;0
Societa Iniziative Autostradali e Servizi SpA;Italy;Transportation;1,48151;2,248793547;2,512952086;1,531236007;0,288908397;0,288908397;0,759215206;1,707318256
Maire Tecnimont SpA;Italy;Industrial & Commercial Services;1,12933;0,111963576;0,090354325;11,977809;0,040925091;0,040925091;10,79137528;1,208240965
Biesse SpA;Italy;Industrial Goods;1,13809;0,053938183;0,511368908;1,923553113;0,116139702;0,116139702;34,91626613;1,883319961
Enav SpA;Italy;Transportation;1,9294;0,540912277;1,727558033;0,788854449;0,156561503;0,156561503;2,412346223;1,304867689
Salini Impregilo SpA;Italy;Industrial & Commercial Services;1,21581;0,273198291;0,137085472;8,411335423;-0,019731269;-0,019731269;3,257038091;0,889817239
Danieli & C Officine Meccaniche SpA;Italy;Industrial Goods;1,48166;0,09434297;0,517819578;1,529489908;0,016309828;0,016309828;7,478105195;0,705506656
FILA Fabbrica Italiana Lapis ed Affini SpA;Italy;Industrial & Commercial Services;1,73242;0,498113512;0,598521996;2,144792486;0,043902955;0,043902955;2,852908787;1,421072416
Tinexta SpA;Italy;Software & IT Services;1,22333;0,348394428;1,13376191;1,814881269;0,159945329;0,159945329;4,128777684;1,438443139
Gima TT SpA;Italy;Industrial Goods;1,56715;0;0,40098338;1,604608935;0,396569857;0,396569857;#DIV/0!;1,364156082
Fiera Milano SpA;Italy;Industrial & Commercial Services;0,49639;0,049692877;0,886201467;2,554129116;0,023222164;0,023222164;73,17956038;3,636502915
Avio SpA;Italy;Industrial Goods;1,12467;0,092280533;0,627854874;2,096016756;0,042358218;0,042358218;8,133292;0,750544519
Sciuker Frames SpA;Italy;Cyclical Consumer Products;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Lu-Ve SpA;Italy;Industrial Goods;1,76844;0,515095575;0,626748268;1,895641387;0,025653384;0,025653384;2,376242431;1,223991961
Kone Oyj;Finland;Industrial Goods;1,33398;0,038364532;0,593871921;1,475828661;0,188334975;0,188334975;45,18079096;1,733339901
Italmobiliare SpA;Italy;Investment Holding Companies;4,36585;0,068400721;2,014812185;0,225095354;0,16867933;0,16867933;10,88812149;0,744755363
Prima Industrie SpA;Italy;Industrial Goods;1,25077;0,311919829;0,468113724;2,477400205;0,058693351;0,058693351;4,568301908;1,424943948
Metso Oyj;Finland;Industrial Goods;1,85044;0,238177128;0,577815993;1,445684524;0,043852107;0,043852107;4,871841155;1,160361135
Wartsila Oyj Abp;Finland;Industrial Conglomerates;1,41125;0,153731787;0,699375558;1,401360544;0,111507583;0,111507583;9,499032882;1,460303301
Ediliziacrobatica SpA;Italy;Industrial & Commercial Services;1,87028;0,37418572;0,127857964;7,404595405;0,066291991;0,066291991;2,777948455;1,039468642
Agatos SpA;Italy;Utilities;0,9483;1,151093884;1,459066646;1,876176643;-0,266081118;-0,266081118;0,631097978;0,726453023
TraWell Co SpA;Italy;Transportation;0,86599;0,227803556;2,465299599;0,628945893;0,278928067;0,278928067;19,72480665;4,493381098
Carraro SpA;Italy;Industrial Goods;0,92425;0,47242742;0,256490507;6,444281625;0,048010959;0,048010959;4,505966853;2,128742294
VTG AG;Germany;Transportation;0,65438;4,505455618;2,359480979;2,856392951;0,200825715;0,200825715;0,663961251;2,99144795
Astaldi SpA;Italy;Industrial & Commercial Services;1,16469;0,442660946;0,157365993;8,59167984;-0,030692648;-0,030692648;1,979406984;0,876206167
FNM SpA;Italy;Transportation;0,98076;0,318576741;1,420975255;1,095646293;0,125476458;0,125476458;2,79627441;0,890827988
Valmet Oyj;Finland;Industrial Goods;1,02054;0,126415094;0,574213836;2,185104053;0,07672956;0,07672956;15,21393035;1,92327044
Circle SpA;Italy;Industrial & Commercial Services;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Gruppo Green Power SpA;Italy;Renewable Energy;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Trevi Finanziaria Industriale SpA;Italy;Energy - Fossil Fuels;0,74506;0,102050784;-0,001863424;-824,2423208;-0,550554766;-0,550554766;9,192307213;0,938082161
Openjobmetis SpA Agenzia per il Lavoro;Italy;Industrial & Commercial Services;1,21632;0,100653817;0,653136695;1,424933188;0,090528527;0,090528527;42,90520979;4,31857314
Innovatec SpA;Italy;Renewable Energy;Unable to collect data for the field 'TR.CurrentRatio' and some specific identifier(s).;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Piovan SpA;Italy;Industrial Goods;1,29653;0,155146518;0,248893096;4,219379577;0,152956178;0,152956178;10,55770685;1,637991458
Fidia SpA;Italy;Industrial Goods;1,40268;0,251161963;0,25394178;4,211051756;-0,068183334;-0,068183334;4,074110147;1,023261503
Aeroporto Guglielmo Marconi di Bologna SpA;Italy;Transportation;1,06256;0,348882641;3,131180165;0,520475099;0,291554079;0,291554079;5,137317494;1,792320894
Autostrade Meridionali SpA;Italy;Industrial & Commercial Services;1,49538;0;0,336920836;2,086699658;0,044080059;0,044080059;#DIV/0!;0,192946472
Schuler AG;Germany;Industrial Goods;1,62661;0,025097668;0,585059785;1,583164711;0,085355748;0,085355748;58,16509434;1,459808216
Somec SpA;Italy;Cyclical Consumer Products;1,00668;0,137164244;0,145072409;7,980786451;0,025815202;0,025815202;4,540221583;0,62275606
Alkemy SpA;Italy;Cyclical Consumer Services;2,56912;0,194362482;0,693133047;0,896317079;0,030825286;0,030825286;4,700862565;0,913671316
Panariagroup Industrie Ceramiche SpA;Italy;Cyclical Consumer Products;1,82565;0,327813403;0,685724236;1,356414432;0,045456365;0,045456365;4,696013188;1,539416064
Officina Stellare SpA;Italy;Technology Equipment;4,76772;0,049984182;0,341980386;3,018501388;0,008225245;0,008225245;13,07594937;0,653590636
Pilkington Deutschland AG;Germany;Cyclical Consumer Products;4,19223;0;0,827414384;0,929152246;0,11744174;0,11744174;#DIV/0!;1,381256276
Cofide Gruppo de Benedetti SpA;Italy;Industrial Conglomerates;1,19767;0,499863247;0,402649609;6,003636182;-0,002292352;-0,002292352;4,257030024;2,12793285
Toscana Aeroporti SpA;Italy;Transportation;0,69781;0,623868615;2,187699018;1,199567749;0,203620433;0,203620433;3,673399944;2,291718934
HAMMONIA Schiffsholding AG;Germany;Transportation;0,24243;0;-0,047826719;-94,33130699;1,877525803;1,877525803;#DIV/0!;3,549280419
CFT SpA;Italy;Industrial Goods;1,06223;0,24887968;0,095635054;13,51292018;0,037763903;0,037763903;5,79070668;1,441189226
Cembre SpA;Italy;Industrial Goods;4,16487;0;1,535320692;0,192444522;0,243880716;0,243880716;#DIV/0!;1,423311764
Tesmec SpA;Italy;Industrial Goods;1,113;0,259989871;0,279904679;4,409539054;-0,009285353;-0,009285353;4,38459041;1,139949093
Bastogi SpA;Italy;Industrial & Commercial Services;0,93201;0,892390932;0,00955004;260,6359499;0,04586518;0,04586518;0,342586167;0,305720789
Beghelli SpA;Italy;Industrial Goods;1,59972;0,465359197;0,731099989;1,621900944;0,024257549;0,024257549;2,642200336;1,229572227
Marzocchi Pompe SpA;Italy;Automobiles & Auto Parts;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Biancamano SpA;Italy;Industrial & Commercial Services;0,36676;0,008597115;-0,981036781;-3,173602098;-0,047301224;-0,047301224;80,36878728;0,690939701
Enertronica SpA;Italy;Renewable Energy;1,20019;0,28318637;0,126911951;9,530233114;-0,041679085;-0,041679085;6,029834259;1,707566873
CdR Advance Capital SpA;Italy;Investment Holding Companies;1,9149;0,753813986;0,787666161;2,041065287;0,097062639;0,097062639;0,269386182;0,203067072
WM Capital SpA;Italy;Industrial & Commercial Services;Unable to collect data for the field 'TR.CurrentRatio' and some specific identifier(s).;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Comer Industries SpA;Italy;Industrial Goods;1,17011;0,06815649;0,416016571;2,386667415;0,038854042;0,038854042;26,21136889;1,786474896
Ambienthesis SpA;Italy;Industrial & Commercial Services;0,84014;0;1,212919566;1,358190328;-0,078774999;-0,078774999;#DIV/0!;1,733020873
Technical Publications Service SpA;Italy;Industrial & Commercial Services;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
ILPRA SpA;Italy;Industrial Goods;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Esautomotion SpA;Italy;Industrial Goods;2,0399;0,073474997;0,562215879;1,021624671;0,260492653;0,260492653;21,73669065;1,597103288
Deufol SE;Germany;Industrial & Commercial Services;1,20593;0,546781957;1,361204843;1,099495097;0,064695812;0,064695812;6,528145207;3,569472013
Clabo SpA;Italy;Industrial Goods;0,96008;0,414192746;0,484218896;3,504149949;0,014738932;0,014738932;2,99506608;1,240534643
Poligrafici Printing SpA;Italy;Industrial & Commercial Services;1,55656;0,026738664;1,620909505;0,480112382;-0,086006115;-0,086006115;61,64963504;1,64842886
Finlogic SpA;Italy;Industrial & Commercial Services;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Fervi SpA;Italy;Industrial Goods;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Jost AG;Germany;Industrial & Commercial Services;11,75621;0;0,770184825;0,347260097;0,149717015;0,149717015;#DIV/0!;1,503669968
Gel SpA;Italy;Utilities;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
IRCE SpA;Italy;Industrial Goods;2,09451;0,065673057;0,728516729;0,805476961;0,025712221;0,025712221;29,84294601;1,95987749
PLC SpA;Italy;Industrial & Commercial Services;1,22211;0,040845387;0,681630818;1,478174821;0,267556022;0,267556022;29,9266055;1,222363786
Rosss SpA;Italy;Industrial & Commercial Services;1,1102;0,156477356;0,142048882;7,752540907;0,038559203;0,038559203;10,40773373;1,628574655
Borgosesia SpA;Italy;Banking & Investment Services;0,70612;0;9,020138582;0,159471209;-1,28989068;-1,28989068;#DIV/0!;0,939032133
Siti B&T Group SpA;Italy;Industrial Goods;1,61274;0,151739497;0,378108061;2,183953954;0,025433985;0,025433985;6,813450841;1,033869606
Costamp Group SpA;Italy;Industrial Goods;0,8908;0,354514758;0,411719089;3,872923615;0,023362163;0,023362163;3,788727352;1,343159759
Joh Friedrich Behrens AG;Germany;Cyclical Consumer Products;1,81701;0,648321473;0,389503403;3,712491312;0,009243502;0,009243502;3,480492752;2,256478187
Konecranes Abp;Finland;Industrial Goods;1,26192;0,386789416;0,809180455;1,834672607;0,145303547;0,145303547;5,220372836;2,019184961
Marna Beteiligungen AG;Germany;Investment Holding Companies;13,06808;0;0,74648742;0,385260539;14,31076506;14,31076506;#DIV/0!;1,414555692
Vimi Fasteners SpA;Italy;Industrial Goods;NULL;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Poligrafica S Faustino SpA;Italy;Industrial & Commercial Services;1,24514;0,201449814;0,302156134;3,451894685;0,033717472;0,033717472;9,006643292;1,814386617
CD Deutsche Eigenheim AG;Germany;Cyclical Consumer Products;2,26639;0,427971023;0,081333248;12,45699482;-0,173275141;-0,173275141;3,07185615;1,31466542
Hydrotec Gesellschaft fuer Wassertechnik AG;Germany;Industrial Goods;3,69969;0;1,242734353;0,492660514;-0,687488538;-0,687488538;#DIV/0!;0,464781328
plettac AG;Germany;Mineral Resources;2,63525;0,696338248;0,114071378;12,81201979;0,183072752;0,183072752;3,149672272;2,193237271
Norddeutsche Steingut AG;Germany;Cyclical Consumer Products;1,1554;0;0,671247318;1,794395613;0,032348154;0,032348154;#DIV/0!;1,678793371
Aquamondi AG;Germany;Industrial & Commercial Services;Unable to collect data for the field 'TR.CurrentRatio' and some specific identifier(s).;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Palgon AG;Germany;Industrial & Commercial Services;Unable to collect data for the field 'TR.CurrentRatio' and some specific identifier(s).;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Teleservice Holding AG;Germany;Retailers;Unable to collect data for the field 'TR.CurrentRatio' and some specific identifier(s).;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!;#VALORE!
Erlus AG;Germany;Mineral Resources;7,41475;0;1,224576663;0,529482142;0,141235619;0,141235619;#DIV/0!;1,605255853
Outotec Oyj;Finland;Industrial & Commercial Services;1,3999;0,218504406;0,552155275;1,926029761;0,003572279;0,003572279;6,233242507;1,36199095
Cargotec Oyj;Finland;Industrial Goods;1,3404;0,389164838;0,821762735;1,508644925;0,076527665;0,076527665;4,823092906;1,876978168
Cramo Oyj;Finland;Industrial & Commercial Services;0,65325;1,824663666;3,427187093;1,143235184;0,51802184;0,51802184;2,458396797;4,485747313
Yit Oyj;Finland;Industrial & Commercial Services;1,61859;0,181525977;0,297555064;2,884009208;0,029824007;0,029824007;5,787518142;1,050584888
Finnair Oyj;Finland;Transportation;1,2795;0,411483925;0,712972062;1,842473171;0,118910571;0,118910571;4,381439782;1,80289204
Uponor Oyj;Finland;Cyclical Consumer Products;1,54944;0,378158458;0,6;2,08993576;0,129550321;0,129550321;6,627406569;2,50620985
Lassila & Tikanoja Oyj;Finland;Industrial & Commercial Services;1,14863;0,670313987;1,033301618;1,657918969;0,159847764;0,159847764;5,03548616;3,375356803
Caverion Oyj;Finland;Industrial & Commercial Services;0,95048;0,087133796;0,355179704;3,647959184;-0,04077318;-0,04077318;39,44194107;3,436726065
SRV Yhtiot Oyj;Finland;Real Estate;1,46086;0,290241821;0,484421315;2,117438197;0,010175604;0,010175604;6,525704314;1,894032306
Lehto Group Oyj;Finland;Industrial & Commercial Services;1,85443;0,035565524;0,481896828;1,242021277;0,165331624;0,165331624;53,83783784;1,914770907
Consti Group Plc;Finland;Industrial & Commercial Services;0,84113;0,432229401;0,542615527;2,987579605;-0,023051662;-0,023051662;14,9072897;6,443368891
